"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Reverse Leakage @ Vr","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Impedance (Max) (Zzt)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Power - Max","Price","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Tolerance","Type","Value","Voltage - Forward (Vf) (Max) @ If","Voltage - Zener (Nom) (Vz)"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30410.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/DDZ9684-7/DDZ9684-7DICT-ND/3053308,"","","","","","","","","7.5µA @ 1.5V",DIODE ZENER 3.3V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","","2020-09-02 01:19:25.963000",Active,Diodes Incorporated,DDZ9684-7,"1",Surface Mount,-65°C ~ 150°C,SOD-123,TapeAndReel,"2019",Active,"500mW","0.05",-,DigiKey,DDZ9684-7DICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","900mV @ 10mA","3.3V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30410.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/DDZ9694-7/DDZ9694DICT-ND/700179,"","","","","","","","","100nA @ 6.2V",DIODE ZENER 8.2V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","","2020-09-02 01:19:25.960000",Active,Diodes Incorporated,DDZ9694-7,"1",Surface Mount,-65°C ~ 150°C,SOD-123,TapeAndReel,"2020",Active,"500mW","0.05",-,DigiKey,DDZ9694DICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","900mV @ 10mA","8.2V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30410.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/DDZ9701-7/DDZ9701-7DICT-ND/3877402,"","","","","","","","","50nA @ 10.6V",DIODE ZENER 14V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","","2020-09-02 01:19:25.957000",Active,Diodes Incorporated,DDZ9701-7,"1",Surface Mount,-65°C ~ 150°C,SOD-123,TapeAndReel,"2021",Active,"500mW","0.05",-,DigiKey,DDZ9701-7DICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","900mV @ 10mA","14V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30410.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/DDZ9690-7/DDZ9690DICT-ND/700175,"","","","","","","","","2µA @ 4V",DIODE ZENER 5.6V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","","2020-09-02 01:19:25.950000",Active,Diodes Incorporated,DDZ9690-7,"1",Surface Mount,-65°C ~ 150°C,SOD-123,TapeAndReel,"2022",Active,"500mW","0.05",-,DigiKey,DDZ9690DICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","900mV @ 10mA","5.6V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30410.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/DDZ9691-7/DDZ9691DICT-ND/700176,"","","","","","","","","1µA @ 5V",DIODE ZENER 6.2V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","","2020-09-02 01:19:25.947000",Active,Diodes Incorporated,DDZ9691-7,"1",Surface Mount,-65°C ~ 150°C,SOD-123,TapeAndReel,"2023",Active,"500mW","0.05",-,DigiKey,DDZ9691DICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","900mV @ 10mA","6.2V"
=Part Number,Datasheet,http://www.vishay.com/docs/85760/bzt52.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/BZT52B15-E3-08/BZT52B15-E3-08GICT-ND/8564797,"","","","","","","","","100nA @ 11V",DIODE ZENER 500MW SOD-123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","11 Ohms","2020-09-02 01:19:25.943000",Active,Vishay Semiconductor Diodes Division,BZT52B15-E3-08,"1",Surface Mount,-65°C ~ 150°C,SOD-123,TapeAndReel,"2024",Active,"410mW","0.05",-,DigiKey,BZT52B15-E3-08GICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±2%,"","","","15V"
=Part Number,Datasheet,http://www.vishay.com/docs/85760/bzt52.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/BZT52B24-E3-08/BZT52B24-E3-08GICT-ND/8564802,"","","","","","","","","100nA @ 18V",DIODE ZENER 24V 410MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","28 Ohms","2020-09-02 01:19:25.940000",Active,Vishay Semiconductor Diodes Division,BZT52B24-E3-08,"1",Surface Mount,-55°C ~ 150°C,SOD-123,TapeAndReel,"2025",Active,"410mW","0.05",-,DigiKey,BZT52B24-E3-08GICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±2%,"","","","24V"
=Part Number,Datasheet,http://www.vishay.com/docs/85760/bzt52.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/BZT52B2V4-E3-18/BZT52B2V4-E3-18GICT-ND/9600512,"","","","","","","","","",DIODE ZENER 2.4V 410MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","85 Ohms","2020-09-02 01:19:25.937000",Active,Vishay Semiconductor Diodes Division,BZT52B2V4-E3-18,"1",Surface Mount,-55°C ~ 150°C,SOD-123,TapeAndReel,"2026",Active,"410mW","0.04",-,DigiKey,BZT52B2V4-E3-18GICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±2%,"","","","2.4V"
=Part Number,Datasheet,http://www.vishay.com/docs/85774/mmsz5225.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/MMSZ5248C-E3-18/MMSZ5248C-E3-18GICT-ND/8565167,"","","","","","","","","100nA @ 14V",DIODE ZENER 18V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","21 Ohms","2020-09-02 01:19:25.930000",Active,Vishay Semiconductor Diodes Division,MMSZ5248C-E3-18,"1",Surface Mount,-55°C ~ 150°C,SOD-123,TapeAndReel,"2027",Active,"500mW","0.04","Automotive, AEC-Q101",DigiKey,MMSZ5248C-E3-18GICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±2%,"","","","18V"
=Part Number,Datasheet,http://www.vishay.com/docs/85774/mmsz5225.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/MMSZ5240C-E3-18/MMSZ5240C-E3-18GICT-ND/9600769,"","","","","","","","","3µA @ 8V",DIODE ZENER 10V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","17 Ohms","2020-09-02 01:19:25.927000",Active,Vishay Semiconductor Diodes Division,MMSZ5240C-E3-18,"1",Surface Mount,-55°C ~ 150°C,SOD-123,TapeAndReel,"2028",Active,"500mW","0.04","Automotive, AEC-Q101",DigiKey,MMSZ5240C-E3-18GICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±2%,"","","","10V"
=Part Number,Datasheet,http://www.vishay.com/docs/85774/mmsz5225.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/MMSZ5233C-E3-18/MMSZ5233C-E3-18GICT-ND/9600765,"","","","","","","","","5µA @ 3.5V",DIODE ZENER 6V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","7 Ohms","2020-09-02 01:19:25.923000",Active,Vishay Semiconductor Diodes Division,MMSZ5233C-E3-18,"1",Surface Mount,-55°C ~ 150°C,SOD-123,TapeAndReel,"2029",Active,"500mW","0.04","Automotive, AEC-Q101",DigiKey,MMSZ5233C-E3-18GICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±2%,"","","","6V"
