Part Type,Part Number,Schematic Part,Part Value,Current - Reverse Leakage @ Vr,Impedance (Max) (Zzt),Voltage - Forward (Vf) (Max) @ If,Voltage - Zener (Nom) (Vz),Tolerance,Allegro PCB Footprint,Package / Case,Pspice Model,Power - Max,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
DIODE ZENER,MMBZ5245BW-7-F,diodes\Diode_ZENER,,100nA @ 11V,16 Ohms,900mV @ 10mA,15V,±5%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds31037.pdf,DIODE ZENER 15V 200MW SOT323,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C11W-7-F,diodes\Diode_ZENER,,100nA @ 8V,20 Ohms,900mV @ 10mA,11V,±5%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds30066.pdf,DIODE ZENER 11V 200MW SOT323,Surface Mount,,2,-65°C ~ 125°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C2V4W-7-F,diodes\Diode_ZENER,,50µA @ 1V,100 Ohms,900mV @ 10mA,2.4V,±8%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds30066.pdf,DIODE ZENER 2.4V 200MW SOT323,Surface Mount,,2,-65°C ~ 125°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C2V7W-TP,diodes\Diode_ZENER,,20µA @ 1V,100 Ohms,1.2V @ 200mA,2.7V,±5%,,"SC-70, SOT-323",,200mW,,https://www.mccsemi.com/pdf/Products/BZX84C2V4W~BZX84C39W(SOT-323).PDF,"0.2W,2.7V,ZENER,SOT-323 PKG",Surface Mount,,2,-55°C ~ 175°C (TJ),,Micro Commercial Co,,,
DIODE ZENER,BZX84C6V8W-7-F,diodes\Diode_ZENER,,2µA @ 4V,15 Ohms,900mV @ 10mA,6.8V,±6%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds30066.pdf,DIODE ZENER 6.8V 200MW SOT323,Surface Mount,,2,-65°C ~ 125°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C15W-7-F,diodes\Diode_ZENER,,100nA @ 10.5V,30 Ohms,900mV @ 10mA,15V,±6%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds30066.pdf,DIODE ZENER 15V 200MW SOT323,Surface Mount,,2,-65°C ~ 125°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C10W-7-F,diodes\Diode_ZENER,,200nA @ 7V,20 Ohms,900mV @ 10mA,10V,±6%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds30066.pdf,DIODE ZENER 10V 200MW SOT323,Surface Mount,,2,-65°C ~ 125°C,,Diodes Incorporated,,,
DIODE ZENER,MMBZ5226BW-7-F,diodes\Diode_ZENER,,25µA @ 1V,28 Ohms,900mV @ 10mA,3.3V,±5%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds31037.pdf,DIODE ZENER 3.3V 200MW SOT323,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C4V7W-7-F,diodes\Diode_ZENER,,3µA @ 2V,80 Ohms,900mV @ 10mA,4.7V,±6%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds30066.pdf,DIODE ZENER 4.7V 200MW SOT323,Surface Mount,,2,-65°C ~ 125°C,,Diodes Incorporated,,,
DIODE ZENER,MMBZ5245BWQ-7-F,diodes\Diode_ZENER,,100nA @ 11V,16 Ohms,900mV @ 10mA,15V,±5%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/MMBZ5245BWQ.pdf,ZENERDIODESOT323,Surface Mount,,2,-65°C ~ 150°C (TJ),,Diodes Incorporated,,,
