Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,Features,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Capacitor,Boardflex Sensitive,C2220X105K2RAC7800,capacitors\2220_5750Metric,1uF,±10%,Soft Termination,200V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220X105K2RACTU.pdf,CAP CER 1UF 200V X7R 2220,"Surface Mount, MLCC",0.232 L x 0.197 W (5.90mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,Boardflex Sensitive,C2220X105KARAC7800,capacitors\2220_5750Metric,1uF,±10%,Soft Termination,250V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220X105KARAC7800.pdf,CAP CER 1UF 250V X7R 2220 10% FL,"Surface Mount, MLCC",0.232 L x 0.197 W (5.90mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,"Bypass, Decoupling",C2220C225K5RAC7800,capacitors\2220_5750Metric,2.2uF,±10%,,50V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220C225K5RACTU.pdf,CAP CER 2.2UF 50V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,C2220C103KDRACTU,capacitors\2220_5750Metric,10000pF,±10%,"Low ESL, High Voltage",1000V (1kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220C103KDRACTU.pdf,CAP CER 10000PF 1KV X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,C2220C333KDRACTU,capacitors\2220_5750Metric,0.033uF,±10%,"Low ESL, High Voltage",1000V (1kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220C333KDRACTU.pdf,CAP CER 0.033UF 1KV X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,Boardflex Sensitive,C2220X331JFGACTU,capacitors\2220_5750Metric,330pF,±5%,"Low ESL, Soft Termination, High Voltage",1500V (1.5kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220X331JFGACTU.pdf,CAP CER 330PF 1.5KV C0G/NP0 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,"Automotive, Bypass, Decoupling",C2220C475K5RACAUTO,capacitors\2220_5750Metric,4.7uF,±10%,,50V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220C475K5RACAUTO.pdf,CAP CER 4.7UF 50V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,C2220C222KGRACTU,capacitors\2220_5750Metric,2200pF,±10%,"Low ESL, High Voltage",2000V (2kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220C222KGRACTU.pdf,CAP CER 2200PF 2KV X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,"Bypass, Decoupling",C2220C475K5RAC7800,capacitors\2220_5750Metric,4.7uF,±10%,,50V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220C475K5RAC7800.pdf,CAP CER 4.7UF 50V X7R 10% 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,C2220C272KBGACTU,capacitors\2220_5750Metric,2700pF,±10%,"Low ESL, High Voltage",630V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220C272KBGACTU.pdf,CAP CER 2700PF 630V C0G/NP0 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,Safety,GA355DR7GF472KW01L,capacitors\2220_5750Metric,4700pF,±10%,,250VAC,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GA355DR7GF472KW01-01.pdf,CAP CER 4700PF 250VAC X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,SMPS Filtering,GA255DR7E2104MW01L,capacitors\2220_5750Metric,0.1uF,±20%,,250V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GA255DR7E2104MW01-01.pdf,CAP CER 0.1UF 250VAC X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,Boardflex Sensitive,C2220X682KHRAC7800,capacitors\2220_5750Metric,6800pF,±10%,"Low ESL, Soft Termination, High Voltage",3000V (3kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220X682KHRAC7800.pdf,CAP CER 6800PF 3KV X7R 2220 FLEX,"Surface Mount, MLCC",0.232 L x 0.197 W (5.90mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,Boardflex Sensitive,C2220X224KBRAC7800,capacitors\2220_5750Metric,0.22uF,±10%,"Low ESL, Soft Termination, High Voltage",630V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220X224KBRAC7800.pdf,CAP CER 0.22UF 630V X7R 2220 FLE,"Surface Mount, MLCC",0.232 L x 0.197 W (5.90mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
