Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Features,Lifetime @ Temp,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,,T496B475M016ATE3K5,capacitors\Capacitor_p,4.7uF,±20%,3.5Ohm,Fail Safe with Built-in Fuse,2000 Hrs @ 85°C,16V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/T496B475M016ATE3K5.pdf,CAP TANT 4.7UF 20% 16V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,KEMET,,,
,,T496B225M016ATE3K5,capacitors\Capacitor_p,2.2uF,±20%,3.5Ohm,Fail Safe with Built-in Fuse,2000 Hrs @ 85°C,16V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/T496B225M016ATE3K5.pdf,CAP TANT 2.2UF 20% 16V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,KEMET,,,
,,T496B105M035ATE5K0,capacitors\Capacitor_p,1uF,±20%,,Fail Safe with Built-in Fuse,,35V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,https://api.kemet.com/component-edge/download/specsheet/T496B105M035ATE5K0.pdf,CAP TANT 1UF 20% 35V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,KEMET,,,
,,TLJH157M006R0900,capacitors\Capacitor_p,150uF,±20%,900mOhm,General Purpose,,6.3V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M","1411 (3528 Metric), 1210",C,,,http://datasheets.avx.com/TLJ.pdf,CAP TANT 150UF 20% 6.3V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,AVX Corporation,,,
,,TPSB107K006H0400,capacitors\Capacitor_p,100uF,±10%,400mOhm,General Purpose,,6.3V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M","1411 (3528 Metric), 1210",C,,,http://datasheets.avx.com/TPS.pdf,CAP TANT 100UF 10% 6.3V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,AVX Corporation,,,
,,T495B106K016ATE500,capacitors\Capacitor_p,10uF,±10%,500mOhm @ 100kHz,General Purpose,2000 Hrs @ 125°C,16V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/T495B106K016ATE500.pdf,CAP TANT 10UF 10% 16V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,KEMET,,,
,,T495B476K006ATE450,capacitors\Capacitor_p,47uF,±10%,450mOhm @ 100kHz,General Purpose,2000 Hrs @ 125°C,6.3V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/T495B476K006ATE450.pdf,CAP TANT 47UF 10% 6.3V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,KEMET,,,
,,T495T106M016ATE4K0,capacitors\Capacitor_p,10uF,±20%,4Ohm,General Purpose,2000 Hrs @ 85°C,16V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/T495T106M016ATE4K0.pdf,CAP TANT 10UF 20% 16V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,KEMET,,,
,,F951A686KBAAQ2,capacitors\Capacitor_p,68uF,±10%,400mOhm,General Purpose,,10V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,http://datasheets.avx.com/F95.pdf,CAP TANT 68UF 10% 10V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,AVX Corporation,,,
,,T496B106M016ATE3K5,capacitors\Capacitor_p,10uF,±20%,3.5Ohm,Fail Safe with Built-in Fuse,2000 Hrs @ 85°C,16V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/T496B106M016ATE3K5.pdf,CAP TANT 10UF 20% 16V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,KEMET,,,
