Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,Features,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Capacitor,General Purpose,C1206C333J5GAC7800,capacitors\1206_3216Metric,0.033uF,±5%,Low ESL,50V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C1206C333J5GACTU.pdf,CAP CER 0.033UF 50V NP0 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,CL31C332JHHNNNE,capacitors\1206_3216Metric,3300pF,±5%,,630V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://www.samsungsem.com/kr/support/product-search/mlcc/CL31C332JHHNNNE.jsp,CAP CER 3300PF 630V C0G/NP0 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,"C0G, NP0",-55°C ~ 125°C,,Samsung Electro-Mechanics,,,
Capacitor,General Purpose,CL31A225KC9LNNC,capacitors\1206_3216Metric,2.2uF,±10%,Low Profile,100V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://www.samsungsem.com/kr/support/product-search/mlcc/CL31A225KC9LNNC.jsp,CAP CER 2.2UF 100V X5R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X5R,-55°C ~ 85°C,,Samsung Electro-Mechanics,,,
Capacitor,General Purpose,1206J5000103KXT,capacitors\1206_3216Metric,10000pF,±10%,,500V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx,CAP CER 10000PF 500V X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R (2R1),-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,General Purpose,JMK316BJ476MD-T,capacitors\1206_3216Metric,47uF,±20%,,6.3V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://www.yuden.co.jp/productdata/catalog/mlcc01_e.pdf,CAP CER 47UF 6.3V X5R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X5R,-55°C ~ 85°C,,Taiyo Yuden,,,
Capacitor,General Purpose,1206GA470KAT1A,capacitors\1206_3216Metric,47pF,±10%,High Voltage,2000V (2kV),"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://datasheets.avx.com/AVX-HV_MLCC.pdf,CAP CER 47PF 2KV C0G/NP0 1206,"Surface Mount, MLCC",0.130 L x 0.063 W (3.30mm x 1.60mm),2,"C0G, NP0",-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,General Purpose,1206B104J500CT,capacitors\1206_3216Metric,0.1uF,±5%,,50V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://www.passivecomponent.com/wp-content/uploads/2018/10/MLCC.pdf,CAP CER 0.1UF 50V X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R,-55°C ~ 125°C,,Walsin Technology Corporation,,,
Capacitor,General Purpose,1206J0630104MXT,capacitors\1206_3216Metric,0.1uF,±20%,,63V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx,CAP CER 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R (2R1),-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,General Purpose,CL31C560JBCNNNC,capacitors\1206_3216Metric,56pF,±5%,,50V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://www.samsungsem.com/kr/support/product-search/mlcc/CL31C560JBCNNNC.jsp,CAP CER 56PF 50V C0G/NP0 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,"C0G, NP0",-55°C ~ 125°C,,Samsung Electro-Mechanics,,,
Capacitor,General Purpose,C3216JB1V106K160AB,capacitors\1206_3216Metric,10uF,±10%,Low ESL,35V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf?ref_disty=digikey,CAP CER 10UF 35V JB 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,JB,-25°C ~ 85°C,,TDK Corporation,,,
Capacitor,General Purpose,C3216X7S2A155K160AB,capacitors\1206_3216Metric,1.5uF,±10%,,100V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf?ref_disty=digikey,CAP CER 1.5UF 100V X7S 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7S,-55°C ~ 125°C,,TDK Corporation,,,
Capacitor,General Purpose,CL31B473KCCNNNC,capacitors\1206_3216Metric,0.047uF,±10%,,100V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://www.samsungsem.com/kr/support/product-search/mlcc/CL31B473KCCNNNC.jsp,CAP CER 0.047UF 100V X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R,-55°C ~ 125°C,,Samsung Electro-Mechanics,,,
