Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,Features,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600F6R2CT250XT,capacitors\0805_2012Metric,6.2pF,±0.25pF,"High Q, Low Loss, Ultra Low ESR",250V,"C0805_RF-N,C0805_RF-L,C0805_RF-M",0805 (2012 Metric),C,,,http://www.atceramics.com/UserFiles/600f.pdf,CAP CER 6.2PF 250V C0G/NP0 0805,"Surface Mount, MLCC",0.079 L x 0.049 W (2.01mm x 1.24mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,"RF, Microwave, High Frequency",04025U6R8CAT2A,capacitors\0402_1005Metric,6.8pF,±0.25pF,Ultra Low ESR,50V,"C0402_RF-N,C0402_RF-L,C0402_RF-M",0402 (1005 Metric),C,,,http://datasheets.avx.com/U-Series.pdf,CAP CER 6.8PF 50V NP0 0402,"Surface Mount, MLCC",0.039 L x 0.020 W (1.00mm x 0.50mm),2,"C0G, NP0",-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600S110JT250XT,capacitors\0603_1608Metric,11pF,±5%,"High Q, Low Loss, Ultra Low ESR",250V,"C0603_RF-N,C0603_RF-L,C0603_RF-M",0603 (1608 Metric),C,,,http://www.atceramics.com/UserFiles/600s.pdf,CAP CER 11PF 250V NP0 0603,"Surface Mount, MLCC",0.063 L x 0.032 W (1.60mm x 0.81mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600F1R2AT250XT,capacitors\0805_2012Metric,1.2pF,±0.05pF,"High Q, Low Loss, Ultra Low ESR",250V,"C0805_RF-N,C0805_RF-L,C0805_RF-M",0805 (2012 Metric),C,,,http://www.atceramics.com/UserFiles/600f.pdf,CAP CER 1.2PF 250V C0G/NP0 0805,"Surface Mount, MLCC",0.079 L x 0.049 W (2.01mm x 1.24mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,"RF, Microwave, High Frequency",04025U5R6CAT2A,capacitors\0402_1005Metric,5.6pF,±0.25pF,Ultra Low ESR,50V,"C0402_RF-N,C0402_RF-L,C0402_RF-M",0402 (1005 Metric),C,,,http://datasheets.avx.com/U-Series.pdf,CAP CER 5.6PF 50V NP0 0402,"Surface Mount, MLCC",0.039 L x 0.020 W (1.00mm x 0.50mm),2,"C0G, NP0",-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600S100JW250XT,capacitors\0603_1608Metric,10pF,±5%,"High Q, Low Loss, Ultra Low ESR",250V,"C0603_RF-N,C0603_RF-L,C0603_RF-M",0603 (1608 Metric),C,,,http://www.atceramics.com/UserFiles/600s.pdf,CAP CER 10PF 250V NP0 0603,"Surface Mount, MLCC",0.063 L x 0.032 W (1.60mm x 0.81mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,"RF, Microwave, High Frequency",04025U150JAT2A,capacitors\0402_1005Metric,15pF,±5%,Ultra Low ESR,50V,"C0402_RF-N,C0402_RF-L,C0402_RF-M",0402 (1005 Metric),C,,,http://datasheets.avx.com/U-Series.pdf,CAP CER 15PF 50V NP0 0402,"Surface Mount, MLCC",0.039 L x 0.020 W (1.00mm x 0.50mm),2,"C0G, NP0",-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,"RF, Microwave, High Frequency",GQM2195C2E101GB12D,capacitors\0805_2012Metric,100pF,±2%,"High Q, Low Loss",250V,"C0805_RF-N,C0805_RF-L,C0805_RF-M",0805 (2012 Metric),C,,,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx?la=en-us,CAP CER 100PF 250V C0G/NP0 0805,"Surface Mount, MLCC",0.079 L x 0.049 W (2.00mm x 1.25mm),2,"C0G, NP0",-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,"RF, Microwave, High Frequency",06035U240GAT2A,capacitors\0603_1608Metric,24pF,±2%,Ultra Low ESR,50V,"C0603_RF-N,C0603_RF-L,C0603_RF-M",0603 (1608 Metric),C,,,http://datasheets.avx.com/U-Series.pdf,CAP CER 24PF 50V NP0 0603,"Surface Mount, MLCC",0.060 L x 0.030 W (1.52mm x 0.76mm),2,"C0G, NP0",-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,"RF, Microwave, High Frequency",04025U0R5BAT2A,capacitors\0402_1005Metric,0.5pF,±0.1pF,Ultra Low ESR,50V,"C0402_RF-N,C0402_RF-L,C0402_RF-M",0402 (1005 Metric),C,,,http://datasheets.avx.com/U-Series.pdf,CAP CER 0.5PF 50V NP0 0402,"Surface Mount, MLCC",0.039 L x 0.020 W (1.00mm x 0.50mm),2,"C0G, NP0",-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,"RF, Microwave, High Frequency",08052U820GAT2A,capacitors\0805_2012Metric,82pF,±2%,Ultra Low ESR,200V,"C0805_RF-N,C0805_RF-L,C0805_RF-M",0805 (2012 Metric),C,,,http://datasheets.avx.com/U-Series.pdf,CAP CER 82PF 200V NP0 0805,"Surface Mount, MLCC",0.079 L x 0.049 W (2.01mm x 1.25mm),2,"C0G, NP0",-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,"RF, Microwave, High Frequency",06035U270FAT2A,capacitors\0603_1608Metric,27pF,±1%,Ultra Low ESR,50V,"C0603_RF-N,C0603_RF-L,C0603_RF-M",0603 (1608 Metric),C,,,http://datasheets.avx.com/U-Series.pdf,CAP CER 27PF 50V NP0 0603,"Surface Mount, MLCC",0.060 L x 0.030 W (1.52mm x 0.76mm),2,"C0G, NP0",-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,"RF, Microwave, High Frequency",04025U0R7BAT2A,capacitors\0402_1005Metric,0.7pF,±0.1pF,Ultra Low ESR,50V,"C0402_RF-N,C0402_RF-L,C0402_RF-M",0402 (1005 Metric),C,,,http://datasheets.avx.com/U-Series.pdf,CAP CER 0.7PF 50V NP0 0402,"Surface Mount, MLCC",0.039 L x 0.020 W (1.00mm x 0.50mm),2,"C0G, NP0",-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,"RF, Microwave, High Frequency",LMK212SD473JD-T,capacitors\0805_2012Metric,0.047uF,±5%,Low Distortion,10V,"C0805_RF-N,C0805_RF-L,C0805_RF-M",0805 (2012 Metric),C,,,http://www.yuden.co.jp/productdata/catalog/mlcc07_e.pdf,CAP CER 0.047UF 10V 0805,"Surface Mount, MLCC",0.079 L x 0.049 W (2.00mm x 1.25mm),2,,-55°C ~ 125°C,,Taiyo Yuden,,,
Capacitor,"RF, Microwave, High Frequency",C06BL851Z-5ZN-X0T,capacitors\0603_1608Metric,850pF,"-20%, +80%",,50V,"C0603_RF-N,C0603_RF-L,C0603_RF-M",0603 (1608 Metric),C,,,//media.digikey.com/pdf/Data%20Sheets/Knowles%20Dielectric%20Labs%20PDFs/C04_06_08_18_Series_DS.pdf,BROADBAND BLOCKS,"Surface Mount, MLCC",0.060 L x 0.030 W (1.52mm x 0.76mm),2,BL,-55°C ~ 125°C,,Knowles Novacap,,,
Capacitor,"RF, Microwave, High Frequency",04025U3R0BAT2A,capacitors\0402_1005Metric,3pF,±0.1pF,Ultra Low ESR,50V,"C0402_RF-N,C0402_RF-L,C0402_RF-M",0402 (1005 Metric),C,,,http://datasheets.avx.com/U-Series.pdf,CAP CER 3PF 50V NP0 0402,"Surface Mount, MLCC",0.039 L x 0.020 W (1.00mm x 0.50mm),2,"C0G, NP0",-55°C ~ 125°C,,AVX Corporation,,,
