Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Impedance,Ripple Current @ High Frequency,Ripple Current @ Low Frequency,Lifetime @ Temp,Polarization,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Surface Mount Land Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,General Purpose,UWP0J470MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,67.5mA @ 10kHz,45mA @ 120Hz,1000 Hrs @ 85°C,Bi-Polar,6.3V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwp.pdf,CAP ALUM 47UF 20% 6.3V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,UWP1A330MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,61.5mA @ 10kHz,41mA @ 120Hz,1000 Hrs @ 85°C,Bi-Polar,10V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwp.pdf,CAP ALUM 33UF 20% 10V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,UWD1C560MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",56uF,±20%,,440 mOhms,230mA @ 100kHz,115mA @ 120Hz,2000 Hrs @ 105°C,,16V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwd.pdf,CAP ALUM 56UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWD1C680MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",68uF,±20%,,440 mOhms,230mA @ 100kHz,115mA @ 120Hz,2000 Hrs @ 105°C,,16V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwd.pdf,CAP ALUM 68UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWD0J151MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,,440 mOhms,230mA @ 100kHz,115mA @ 120Hz,2000 Hrs @ 105°C,,6.3V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwd.pdf,CAP ALUM 150UF 20% 6.3V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWD1A680MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",68uF,±20%,,440 mOhms,230mA @ 100kHz,115mA @ 120Hz,2000 Hrs @ 105°C,,10V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwd.pdf,CAP ALUM 68UF 20% 10V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWD1H150MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",15uF,±20%,,880 mOhms,165mA @ 100kHz,82.5mA @ 120Hz,2000 Hrs @ 105°C,,50V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwd.pdf,CAP ALUM 15UF 20% 50V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,Audio,UCQ1A101MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,,150mA @ 10kHz,100mA @ 120Hz,2000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucq.pdf,CAP ALUM 100UF 20% 10V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWD1C330MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,440 mOhms,230mA @ 100kHz,115mA @ 120Hz,2000 Hrs @ 105°C,,16V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwd.pdf,CAP ALUM 33UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWD1E560MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",56uF,±20%,,440 mOhms,230mA @ 100kHz,115mA @ 120Hz,2000 Hrs @ 105°C,,25V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwd.pdf,CAP ALUM 56UF 20% 25V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWD1A560MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",56uF,±20%,,440 mOhms,230mA @ 100kHz,115mA @ 120Hz,2000 Hrs @ 105°C,,10V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwd.pdf,CAP ALUM 56UF 20% 10V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWF0J101MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,1.3 Ohms,115mA @ 100kHz,57.5mA @ 120Hz,1000 Hrs @ 105°C,,6.3V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwf.pdf,CAP ALUM 100UF 20% 6.3V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWF1A680MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",68uF,±20%,,1.3 Ohms,115mA @ 100kHz,57.5mA @ 120Hz,1000 Hrs @ 105°C,,10V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwf.pdf,CAP ALUM 68UF 20% 10V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWF1C330MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,1.3 Ohms,115mA @ 100kHz,57.5mA @ 120Hz,1000 Hrs @ 105°C,,16V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwf.pdf,CAP ALUM 33UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWF0J680MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",68uF,±20%,,1.3 Ohms,115mA @ 100kHz,57.5mA @ 120Hz,1000 Hrs @ 105°C,,6.3V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwf.pdf,CAP ALUM 68UF 20% 6.3V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWJ1A101MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,,114mA @ 10kHz,76mA @ 120Hz,2000 Hrs @ 85°C,Polar,10V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwj.pdf,CAP ALUM 100UF 20% 10V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Nichicon,,,
,Automotive,EEE-HB0G221P,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,,139.4mA @ 10kHz,82mA @ 120Hz,2000 Hrs @ 105°C,Polar,4V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1157.pdf,CAP ALUM 220UF 20% 4V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,865250443004,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,60mA @ 100kHz,40mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,25V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865250443004.pdf,CAP 22 UF 20% 25 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,General Purpose,UWT0G221MCL6GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,,136.5mA @ 10kHz,91mA @ 120Hz,1000 Hrs @ 105°C,Polar,4V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwt.pdf,CAP ALUM 220UF 20% 4V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,865250543005,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,67.5mA @ 100kHz,45mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,35V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865250543005.pdf,CAP 22 UF 20% 35 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,General Purpose,865250543004,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,43.5mA @ 100kHz,29mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,35V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865250543004.pdf,CAP 10 UF 20% 35 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,General Purpose,865250643009,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,48mA @ 100kHz,32mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,50V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865250643009.pdf,CAP 10 UF 20% 50 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,General Purpose,865250143004,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,67.5mA @ 100kHz,45mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,6.3V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865250143004.pdf,CAP 47 UF 20% 6.3 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,General Purpose,RVS-16V470MF55U-R2,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,7.8Ohm @ 120Hz,,58.75mA @ 100kHz,47mA @ 120Hz,1000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://www.elna.co.jp/en/capacitor/alumi/catalog/pdf/rvs_e.pdf,CAP ALUM 47UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Elna America,,,
,General Purpose,UCL1A470MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,260 mOhms,300mA @ 100kHz,150mA @ 120Hz,2000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucl.pdf,CAP ALUM 47UF 20% 10V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UUD1A560MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",56uF,±20%,,440 mOhms,230mA @ 100kHz,115mA @ 120Hz,2000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uud.pdf,CAP ALUM 56UF 20% 10V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,106SML050M,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,19.894Ohm @ 120Hz,,,43mA @ 120Hz,2000 Hrs @ 85°C,Polar,50V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://www.illinoiscapacitor.com/pdf/seriesDocuments/SML%20series.pdf,CAP ALUM 10UF 20% 50V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Illinois Capacitor,,,
,Automotive,EMZA350ADA330MF61G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,360 mOhms,240mA @ 100kHz,96mA @ 120Hz,2000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mza,CAP ALUM 33UF 20% 35V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,UWP1C220MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,55.5mA @ 10kHz,37mA @ 120Hz,1000 Hrs @ 85°C,Bi-Polar,16V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwp.pdf,CAP ALUM 22UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,UCL1E330MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,260 mOhms,300mA @ 100kHz,150mA @ 120Hz,2000 Hrs @ 105°C,Polar,25V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucl.pdf,CAP ALUM 33UF 20% 25V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UCL1C470MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,260 mOhms,300mA @ 100kHz,150mA @ 120Hz,2000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucl.pdf,CAP ALUM 47UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UCL0J101MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,260 mOhms,300mA @ 100kHz,150mA @ 120Hz,2000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucl.pdf,CAP ALUM 100UF 20% 6.3V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,865060543003,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,440 mOhms,230mA @ 100kHz,149.5mA @ 120Hz,2000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865060543003.pdf,CAP 22 UF 20% 35 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,UUA1A470MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,75mA @ 10kHz,50mA @ 120Hz,3000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uua.pdf,CAP ALUM 47UF 20% 10V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWJ1C470MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,87mA @ 10kHz,58mA @ 120Hz,2000 Hrs @ 85°C,Polar,16V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwj.pdf,CAP ALUM 47UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,UWT1E470MCL6GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,88.5mA @ 10kHz,59mA @ 120Hz,1000 Hrs @ 105°C,Polar,25V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwt.pdf,CAP ALUM 47UF 20% 25V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWR1E470MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,105mA @ 10kHz,70mA @ 120Hz,2000 Hrs @ 85°C,Polar,25V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwx.pdf,CAP ALUM 47UF 20% 25V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,865090643009,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,49.5mA @ 100kHz,33mA @ 120Hz,1000 Hrs @ 85°C,Polar,50V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865090643009.pdf,CAP 10 UF 20% 50 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,Automotive,25SEV33M6.3X5.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,81mA @ 10kHz,54mA @ 120Hz,2000 Hrs @ 85°C,Polar,25V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_sev.pdf,CAP ALUM 33UF 20% 25V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Rubycon,,,
,General Purpose,UWJ1V220MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,67.5mA @ 10kHz,45mA @ 120Hz,2000 Hrs @ 85°C,Polar,35V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwj.pdf,CAP ALUM 22UF 20% 35V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,865080243008,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,,490 mOhms,250mA @ 100kHz,162.5mA @ 120Hz,2000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865080243008.pdf,CAP 150 UF 20% 10 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,865230143004,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,,72mA @ 10kHz,60mA @ 120Hz,5000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865230143004.pdf,CAP 100 UF 20% 6.3 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,865080443008,"capacitors\Capacitor_AL,capacitors\Capacitor_p",56uF,±20%,,540 mOhms,230mA @ 100kHz,149.5mA @ 120Hz,2000 Hrs @ 105°C,Polar,25V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865080443008.pdf,CAP 56 UF 20% 25 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,865080143008,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,,510 mOhms,235mA @ 100kHz,152.75mA @ 120Hz,2000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865080143008.pdf,CAP 150 UF 20% 6.3 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,UCL1V470MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,260 mOhms,300mA @ 100kHz,150mA @ 120Hz,2000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 6.6MM H6.1MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucl.pdf,CAP ALUM 47UF 20% 35V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,EDK106M063A9GAA,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,25mA @ 10kHz,20mA @ 120Hz,2000 Hrs @ 85°C,Polar,63V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://api.kemet.com/component-edge/download/datasheet/EDK106M063A9GAA.pdf,CAP ALUM 10UF 20% 63V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,KEMET,,,
,General Purpose,865090443005,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,78mA @ 100kHz,52mA @ 120Hz,1000 Hrs @ 85°C,Polar,25V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865090443005.pdf,CAP 33 UF 20% 25 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,General Purpose,865090543005,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,69mA @ 100kHz,46mA @ 120Hz,1000 Hrs @ 85°C,Polar,35V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865090543005.pdf,CAP 22 UF 20% 35 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,General Purpose,865080543008,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,540 mOhms,240mA @ 100kHz,156mA @ 120Hz,2000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865080543008.pdf,CAP 33 UF 20% 35 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,865080443007,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,560 mOhms,220mA @ 100kHz,143mA @ 120Hz,2000 Hrs @ 105°C,Polar,25V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865080443007.pdf,CAP 47 UF 20% 25 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,865230243003,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,72mA @ 10kHz,48mA @ 120Hz,5000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865230243003.pdf,CAP 47 UF 20% 10 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,865060143004,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,440 mOhms,240mA @ 100kHz,156mA @ 120Hz,2000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865060143004.pdf,CAP 100 UF 20% 6.3 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,865230443003,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,60mA @ 10kHz,40mA @ 120Hz,5000 Hrs @ 105°C,Polar,25V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865230443003.pdf,CAP 22 UF 20% 25 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,865090243004,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,78mA @ 100kHz,52mA @ 120Hz,1000 Hrs @ 85°C,Polar,10V,,CAP ALSMD 6.6MM H6.1MM,C,,,https://katalog.we-online.de/pbs/datasheet/865090243004.pdf,CAP 47 UF 20% 10 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
