Part Type,Part Number,Schematic Part,Part Value,Tolerance,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Number of Resistors,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,EXB-N8V154JX,,150k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 150K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V474JX,,470k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 470K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V6R2JX,,6.2,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 6.2 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V114JX,,110k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 110K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V473JX,,47k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 47K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V203JX,,20k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 20K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V6R8JX,,6.8,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 6.8 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V300JX,,30,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 30 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V332JX,,3.3k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 3.3K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V823JX,,82k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 82K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
